DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : nameTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : passwordTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : okTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : requirePassword
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : incorrectPassword
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 12
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 13
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14 - export symbols
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14
DEBUG | QViewletExporter - leelou.swf.e | Saved SWF file in 0.188 s
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 15
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 16
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: flashGenerator.generate completed
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: generate HTML: folder:C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare file: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html
INFO | QViewletExporter - leelou.s.cb | Viewlet compiling time: 0.703 s
INFO | AWT-EventQueue-0 - leelou.publish.tc | Stopping
INFO | AWT-EventQueue-0 - QWebBrowserManager | Display URL: file:/C:/DOCUME~1/Nicole/LOCALS~1/Temp/Qarbon/ViewletBuilder4/Viewlets/progress_compare/progress_compare_viewlet_swf.html
INFO | AWT-EventQueue-0 - QWebBrowserManager | Command: rundll32 url.dll,FileProtocolHandler "C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html"
INFO | AWT-EventQueue-0 - leelou.publish.tc | Starting
INFO | Thread-7 - qarbon.common.c.e | Thumbnails encoded in 31ms
DEBUG | Thread-7 - qarbon.common.c.e | Copy data pack 0005
DEBUG | Thread-7 - qarbon.common.c.e | Copy data pack 0006
DEBUG | Thread-7 - qarbon.common.c.e | Copy data pack 0007
DEBUG | Thread-7 - qarbon.common.c.e | Copy data pack 0008
DEBUG | Thread-7 - qarbon.common.c.e | Empty data pack global
INFO | Thread-7 - qarbon.common.c.e | Project encoded in 157ms
